"","country","status","rows"
"1.ALB","1.ALB",TRUE,3
"1.AND","1.AND",TRUE,3
"1.AUT","1.AUT",TRUE,3
"1.BEL","1.BEL",TRUE,3
"1.BIH","1.BIH",TRUE,3
"2.BGR","2.BGR",TRUE,3
"2.HRV","2.HRV",TRUE,3
"2.CZE","2.CZE",TRUE,3
"2.DNK","2.DNK",TRUE,3
"2.EST","2.EST",TRUE,3
"3.FIN","3.FIN",TRUE,3
"3.FRA","3.FRA",TRUE,3
"3.DEU","3.DEU",TRUE,3
"3.GRC","3.GRC",TRUE,3
"3.HUN","3.HUN",TRUE,3
"4.ISL","4.ISL",TRUE,3
"4.IRL","4.IRL",TRUE,3
"4.ITA","4.ITA",TRUE,3
"4.LVA","4.LVA",TRUE,3
"4.LIE","4.LIE",TRUE,3
"5.LTU","5.LTU",TRUE,3
"5.LUX","5.LUX",TRUE,3
"5.MLT","5.MLT",TRUE,3
"5.MDA","5.MDA",TRUE,3
"5.MCO","5.MCO",TRUE,3
"6.MNE","6.MNE",TRUE,3
"6.NLD","6.NLD",TRUE,3
"6.MKD","6.MKD",TRUE,3
"6.NOR","6.NOR",TRUE,3
"6.POL","6.POL",TRUE,3
"7.PRT","7.PRT",TRUE,3
"7.ROU","7.ROU",TRUE,3
"7.SMR","7.SMR",TRUE,3
"7.SRB","7.SRB",TRUE,3
"7.SVK","7.SVK",TRUE,3
"8.SVN","8.SVN",TRUE,3
"8.ESP","8.ESP",TRUE,3
"8.SWE","8.SWE",TRUE,3
"8.CHE","8.CHE",TRUE,3
"8.GBR","8.GBR",TRUE,3
"9.VAT","9.VAT",TRUE,3
